WorkPlace	Date	Time
Bergen Flis	2016-08-30	1.5
Bergen Flis	2016-08-31	0
Bergen Flis	2016-09-02	1.5
Bergen Flis	2016-09-03	0
Bergen Flis	2016-09-05	0
Bergen Flis	2016-09-06	1.5
Bergen Flis	2016-09-07	0
Bergen Flis	2016-09-09	1.5
Bergen Flis	2016-09-10	0
Bergen Flis	2016-09-12	0
Bergen Flis	2016-09-13	1.5
Bergen Flis	2016-09-14	0
Bergen Flis	2016-09-16	1.5
Bergen Flis	2016-09-17	0
Bergen Flis	2016-09-19	0
Bergen Flis	2016-09-20	1.5
Bergen Flis	2016-09-21	0
Bergen Flis	2016-09-23	1.5
Bergen Flis	2016-09-24	0
Bergen Flis	2016-09-26	0
Bergen Flis	2016-09-27	1.5
Bergen Flis	2016-09-28	0
Bergen Flis	2016-09-30	1.5
Bolia	2016-08-12	1.5
Bolia	2016-08-13	0
Bolia	2016-08-15	0
Bolia	2016-08-16	1.5
Bolia	2016-08-17	0
Bolia	2016-08-19	1.5
Bolia	2016-08-20	0
Bolia	2016-08-22	0
Bolia	2016-08-23	1.5
Bolia	2016-08-24	0
Bolia	2016-08-26	1.5
Brilland	2016-08-12	1
Brilland	2016-08-13	0
Brilland	2016-08-15	1
Brilland	2016-08-16	0
Brilland	2016-08-17	0
Brilland	2016-08-19	1
Brilland	2016-08-20	0
Brilland	2016-08-22	1
Brilland	2016-08-23	0
Brilland	2016-08-24	0
Brilland	2016-08-26	1
DinSko	2016-08-12	1
DinSko	2016-08-13	0
DinSko	2016-08-15	1
DinSko	2016-08-16	0
DinSko	2016-08-17	0
DinSko	2016-08-19	1
DinSko	2016-08-20	0
DinSko	2016-08-22	1
DinSko	2016-08-23	0
DinSko	2016-08-24	0
DinSko	2016-08-26	1
Holtermann	2016-05-02	1
Holtermann	2016-05-03	0
Holtermann	2016-05-04	1.5
Holtermann	2016-05-06	0
Holtermann	2016-05-07	1.5
Holtermann	2016-05-09	1
Holtermann	2016-05-10	0
Holtermann	2016-05-11	1.5
Holtermann	2016-05-13	0
Holtermann	2016-05-14	1.5
Holtermann	2016-05-16	1
Holtermann	2016-05-17	0
Holtermann	2016-05-18	1.5
Holtermann	2016-05-20	0
Holtermann	2016-05-21	1.5
Holtermann	2016-05-23	1
Holtermann	2016-05-24	0
Holtermann	2016-05-25	1.5
Holtermann	2016-05-27	0
Holtermann	2016-05-28	1.5
Holtermann	2016-05-30	1
Holtermann	2016-05-31	0
Holtermann	2016-06-01	1.5
Holtermann	2016-06-03	0
Holtermann	2016-06-04	1.5
Holtermann	2016-06-06	1
Holtermann	2016-06-07	0
Holtermann	2016-06-08	1.5
Holtermann	2016-06-10	0
Holtermann	2016-06-11	1.5
