Year,Month,Hours,Rate,Total,Tax,Amount After Tax
2016,May,42,174.5,7329,782,6547
2016,June,43,174.5,7503.5,837,6666.5
2016,July,45,174.5,7852.5,919,6933.5
2016,August,64,174.5,11168,1823,9345
2016,September,69.5,174.5,12127.75,2097,10030.75
2016,October,66.25,174.5,11560.62,1933,9627.62
2016,November,78.5,174.5,13698.25,2511,11187.25
2016,December,90.25,174.5,15748.62,3097,12651.62
2017,January,25,175,4375,0,4375
2017,February,44.5,175,7787.5,834,6953.5
2017,March,78,174.5,13611,2396,11215
2017,April,18.75,174.5,3271.88,0,3271.88
